height;weight;age;gender;pregnant;alpha;sbsa;bsa;bmr;dci_little;dci_light;dci_moderate;dci_heavy;dci_very_heavy
151.765;47.8256065;63;1;0;40;1.41992303884484;1.2580975845105;1207.77368113008;1449.3284173561;1660.68881155386;1872.04920575163;2083.40959994939;2294.76999414716
139.7;36.4858065;63;0;0;40;1.18989579002743;1.06541071482076;920.514857605138;1104.61782912617;1265.70792920706;1426.79802928796;1587.88812936886;1748.97822944976
136.525;31.864838;65;0;0;40;1.09928600665639;0.993123391748895;858.058610471045;1029.67033256525;1179.83058939769;1329.99084623012;1480.15110306255;1630.31135989499
156.845;53.0419145;41;1;0;35;1.52017534439585;1.34185981482545;1127.16224445338;1352.59469334406;1549.8480861234;1747.10147890274;1944.35487168208;2141.60826446142
145.415;41.276872;51;0;0;35;1.29123932090668;1.15116917640173;870.283897359711;1044.34067683165;1196.6403588696;1348.94004090755;1501.2397229455;1653.53940498345
163.83;62.992589;35;1;0;35;1.69312956909436;1.48190778942526;1244.80254311722;1493.76305174066;1711.60349678617;1929.44394183169;2147.2843868772;2365.12483192271
149.225;38.2434755;32;0;1;35;1.25906519903188;1.13695178615974;1459.53555033676;1751.44266040411;2006.86138171304;2262.28010302198;2517.69882433091;2773.11754563984
168.91;55.4799715;27;1;0;35;1.61340926009913;1.43894184003703;1208.71114563111;1450.45337475733;1661.97782524277;1873.50227572822;2085.02672621366;2296.55117669911
147.955;34.869885;19;0;1;40;1.19712315285612;1.08918325049554;1541.05432842815;1849.26519411378;2118.94970158871;2388.63420906363;2658.31871653856;2928.00322401348
165.1;54.487739;54;1;0;35;1.5807808995785;1.40595837062499;1181.00503132499;1417.20603758999;1623.88191807186;1830.55779855373;2037.23367903561;2243.90955951748
154.305;49.89512;47;0;0;35;1.46240540924875;1.29455117569577;978.680688826;1174.4168265912;1345.68594713575;1516.9550676803;1688.22418822485;1859.4933087694
151.13;41.220173;66;1;0;40;1.31546408641061;1.18200522785082;1134.72501873679;1361.67002248414;1560.24690076308;1758.82377904202;1957.40065732096;2155.97753559989
144.78;36.0322145;73;0;0;40;1.20378385095013;1.08693200772989;939.109254678627;1126.93110561435;1291.27522518311;1455.61934475187;1619.96346432063;1784.30758388939
149.9;47.7;20;0;0;35;1.40931721056688;1.24594390602207;941.933592952685;1130.32031154322;1295.15869030994;1459.99706907666;1624.83544784338;1789.6738266101
150.495;33.849303;65;0;0;40;1.1895553388399;1.08921932433356;941.085496224197;1129.30259546904;1293.99255730827;1458.68251914751;1623.37248098674;1788.06244282597
